station,measureDate,decimaldate,yearday,StaGrpCode,StaType,Transect,Latitude,Longitude,time,analyst,tidestage,scttemp,sctsal,sctcond,dotemp,do,secchi,depth,nh4,po4,TDN,chlor_a,phaeopigments_a,tss,pom,pim,,,,,,,,,
CM,7/20/05,2005.552361,201,2,Mainland Creek,Oyster,37.287616,-75.92876,1419,KMO/ART,LATE EBB,29.2,1,1.919,29.1,11.72,NaN,1,4.523333333,1.147666667,112.3333333,,,14.55556667,1.555533333,13,,,,,,,,,
CM,9/1/05,2005.670089,244,2,Mainland Creek,Oyster,37.287616,-75.92876,1322,KMO/ART,LATE EBB,26.2,1.3,2.418,26.3,9.18,NaN,1,,,112.3333333,5.7,18.67,30,8.111133333,21.88886667,,,,,,,,,
CM,9/28/05,2005.744011,271,2,Mainland Creek,Oyster,37.287616,-75.92876,,ART,,21.3,2.3,4.247,21.3,9.79,NaN,,12.63333333,2.253333333,112.3333333,4.98,17.46,,,,,,,,,,,,
CM,9/29/05,2005.746749,272,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,NaN,,,,,,,29.7778,5.666666667,24.11113333,,,,,,,,,
CM,11/1/05,2005.837098,305,2,Mainland Creek,Oyster,37.287616,-75.92876,1300,KMO/ART,LATE EBB,16,2.4,4.468,16.1,10.84,NaN,0.8,3.326666667,,104.09,2.13,5.665,27.44446667,5.222233333,22.22223333,,,,,,,,,
CM,11/15/05,2005.875428,319,2,Mainland Creek,Oyster,37.287616,-75.92876,1320,ART,LATE EBB,18.4,3.3,6.13,18.5,10.15,NaN,,7.006666667,0.581,,2.133333333,7.91,25.66666667,5.666666667,20,,,,,,,,,
CM,12/12/05,2005.94935,346,2,Mainland Creek,Oyster,37.287616,-75.92876,,ART,,8.9,0.9,18.54,8.9,11.47,NaN,,4.52,0.026,111.0666667,0.71,3.2,31.1111,5.444433333,25.66666667,,,,,,,,,
CM,3/29/06,2006.2423,88,2,Mainland Creek,Oyster,37.287616,-75.92876,1330,KMO/ART,LATE EBB,16.3,3.6,6.48,16.3,13.78,0.25,0.8,4.653333333,0.1001,100.6333333,1.42,3.983333333,,,,,,,,,,,,
CM,4/27/06,2006.321697,117,2,Mainland Creek,Oyster,37.287616,-75.92876,1300,KMO/ART,LATE EBB,17.8,3.3,5.97,17.9,12.55,NaN,1,3.423333333,,100,1.42,7.41,,,,,,,,,,,,
CM,5/23/06,2006.392882,143,2,Mainland Creek,Oyster,37.287616,-75.92876,1125,KMO/ART,LATE EBB,20.1,3.1,5.72,20.2,17.46,NaN,0.8,4.236666667,0.1093,,1.42,3.983333333,,,,,,,,,,,,
CM,5/24/06,2006.395619,144,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,NaN,,,,103.3333333,,,,,,,,,,,,,,
CM,6/23/06,2006.477755,174,2,Mainland Creek,Oyster,37.287616,-75.92876,1210,KMO/ART,LATE EBB,28.2,1.8,3.503,28.2,9.68,NaN,1,11.03,1.1942,464.6083333,1.896666667,12.71,,,,,,,,,,,,
CM,7/24/06,2006.562628,205,2,Mainland Creek,Oyster,37.287616,-75.92876,1401,KMO/ART,LATE EBB,30.6,3.4,6.37,30.6,9.14,NaN,1,14.86666667,1.733333333,,4.27,19.24,,,,,,,,,,,,
CM,8/22/06,2006.642026,234,2,Mainland Creek,Oyster,37.287616,-75.92876,1400,KMO/DB,LATE EBB,28.6,1.8,3.33,28.6,7.52,NaN,,10.00333333,0.544,108.36,4.27,21.985,,,,,,,,,,,,
CM,9/19/06,2006.718686,262,2,Mainland Creek,Oyster,37.287616,-75.92876,1245,KMO/DB,LATE EBB,21.7,0.8,1.531,21.8,7.42,NaN,1,5.21,1.08,106.3443333,3.205,10.935,,,,,,,,,,,,
CM,11/6/06,2006.850103,310,2,Mainland Creek,Oyster,37.287616,-75.92876,1435,KMO/DB,LATE EBB,11.8,1,1.961,11.9,9.99,NaN,1,4.493333333,0.557666667,212.193,-6.20E-16,2.49,,,,,,,,,,,,
CM,2/27/07,2007.15948,58,2,Mainland Creek,Oyster,37.287616,-75.92876,1200,ART/CB/,LATE EBB,9.4,0.3,0.607,9.5,12.01,NaN,1,0.718666667,,233.786,1.66,10.22,20.77776667,7,13.77776667,,,,,,,,,
CM,2/28/07,2007.162218,59,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,NaN,,,,235.5273333,,,,,,,,,,,,,,
CM,3/28/07,2007.238877,87,2,Mainland Creek,Oyster,37.287616,-75.92876,1054,KMO/CB,LATE EBB,16,0.3,0.624,16,10.33,NaN,1,0.970333333,0.175666667,103.6666667,1.71,5.4,20.77776667,6.1111,14.66666667,,,,,,,,,
CM,4/27/07,2007.321013,117,2,Mainland Creek,Oyster,37.287616,-75.92876,1048,KMO/DB/,LATE EBB,16.1,0.4,0.766,16.2,9.95,NaN,1,2.563333333,0.202666667,,2.133333333,10.45,18.22223333,5,13.22223333,,,,,,,,,
CM,5/29/07,2007.408624,149,2,Mainland Creek,Oyster,37.287616,-75.92876,1303,KMO/DB/,LATE EBB,24.2,0.5,0.986,24.3,10.32,NaN,1,,,106,2.85,10.33,16.8889,6.222233333,10.66666667,,,,,,,,,
CM,6/27/07,2007.488022,178,2,Mainland Creek,Oyster,37.287616,-75.92876,1132,KMO/CB,LATE EBB,26.9,1.1,2.134,26.8,10.75,NaN,1,4.301,0.850666667,104.6666667,2.373333333,11.68666667,13.33333333,2.6667,10.66666667,,,,,,,,,
CM,7/27/07,2007.570157,208,2,Mainland Creek,Oyster,37.287616,-75.92876,1141,KMO/DB/,LATE EBB,27.2,2.5,4.741,27.3,9.45,NaN,1,7.25,1.43,,,,30.1111,5.1111,25,,,,,,,,,
CM,8/27/07,2007.655031,239,2,Mainland Creek,Oyster,37.287616,-75.92876,1336,KMO/CB/,LATE EBB,30.1,4.8,0.871,30.1,7.11,NaN,1,19.4,2.456666667,98.4,,,41.44446667,7.444433333,34,,,,,,,,,
CM,9/25/07,2007.734428,268,2,Mainland Creek,Oyster,37.287616,-75.92876,1329,kmo/cb,LATE EBB,27.6,5.9,10.38,27.6,8.16,NaN,1,18.63333333,2.066666667,101,4.033333333,19.33333333,109.5555667,18.1111,91.44443333,,,,,,,,,
CM,10/24/07,2007.813826,297,2,Mainland Creek,Oyster,37.287616,-75.92876,1142,KMO/DB,MID EBB,23.1,11.2,18.79,23.1,6.22,NaN,1,9.316666667,1.226666667,116,16.39,57.055,32.99996667,4.777766667,28.22223333,,,,,,,,,
CM,11/6/07,2007.849418,310,2,Mainland Creek,Oyster,37.287616,-75.92876,1118,KMO/DB,LATE EBB,13.4,2.9,5.35,13.4,7.8,NaN,1,9.106666667,1.283333333,97.86666667,1.065,6.8,15.2222,3.555566667,11.66666667,,,,,,,,,
CM,2/20/08,2008.13963,51,2,Mainland Creek,Oyster,37.287616,-75.92876,1245,KMO/DB,LATE EBB,9.1,0.7,1.347,9.2,11.28,NaN,1.5,3.333333333,0.161466667,241.6666667,,,12.8889,3.8889,9,,,,,,,,,
CM,3/19/08,2008.21629,79,2,Mainland Creek,Oyster,37.287616,-75.92876,1232,KMO/CB,LATE EBB,16.1,2.9,5.41,16.1,10.71,NaN,1.5,3.266666667,0.414066667,236.3333333,,,9.555566667,1.333333333,8.222233333,,,,,,,,,
CM,4/15/08,2008.290212,106,2,Mainland Creek,Oyster,37.287616,-75.92876,1013,KMO/DB,LATE EBB,11.9,1.1,2.052,12,9.11,NaN,1.5,,,209,,,10.11113333,2.222233333,7.8889,,,,,,,,,
CM,5/15/08,2008.372348,136,2,Mainland Creek,Oyster,37.287616,-75.92876,1206,KMO/CB,LATE EBB,20.8,1.3,2.512,20.8,9.09,NaN,1,,,192.3333333,,,17.2222,4.555566667,12.66666667,,,,,,,,,
CM,7/16/08,2008.542094,198,2,Mainland Creek,Oyster,37.287616,-75.92876,1228,KMO/CB,LATE EBB,28.6,4,7.01,28.7,8.2,NaN,1.5,,,403.3333333,,,92.55553333,18.3333,74.22223333,,,,,,,,,
CM,10/10/08,2008.77755,284,2,Mainland Creek,Oyster,37.287616,-75.92876,1205,KMO/DB,LATE EBB,21.4,3,5.52,21.3,4.9,NaN,,,,455.3333333,,,,,,,,,,,,,,
CM,4/23/09,2009.311431,113,2,Mainland Creek,Oyster,37.287616,-75.92876,1426,DMB/ACS,LATE EBB,19.5,0.4,0.811,19.6,10.26,NaN,1,0.691333333,30.93333333,,,,,,,,,,,,,,,
CM,12/1/09,2009.919233,335,2,Mainland Creek,Oyster,37.287616,-75.92876,1300,ACS/DMB/CRB,MID EBB,10.6,0.7,1.339,,,NaN,,4.766666667,0.716666667,,,,,,,,,,,,,,,
CM,5/25/10,2010.398357,145,2,Mainland Creek,Oyster,37.287616,-75.92876,1114,CB/DB,LATE EBB,20.7,0.9,1.664,21.2,7.78,NaN,1,0.258,0.142566667,,,,,,,,,,,,,,,
CM,3/1/11,2011.164956,60,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,NaN,,4.106666667,0.813333333,24.9,,,,,,,,,,,,,,
CM,4/29/11,2011.326489,119,2,Mainland Creek,Oyster,37.287616,-75.92876,1232,BR,LATE EBB,24.8,1.5,29.12,24.9,12.14,NaN,,,,,,,,,,,,,,,,,,
CM,7/27/11,2011.570157,208,2,Mainland Creek,Oyster,37.287616,-75.92876,1200,BR,Late Ebb,31.5,3.9,7.14,,,NaN,,29,3.786666667,,,,95.73333333,23,72.73333333,,,,,,,,,
CM,10/10/11,2011.775496,283,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,NaN,,10.00333333,1.543333333,36.03333333,,,,,,,,,,,,,,
CM,10/24/11,2011.813826,297,2,Mainland Creek,Oyster,37.287616,-75.92876,1443,BR,EARLY FLOOD,20.4,3.4,6.22,,,NaN,,,,,,,,,,,,,,,,,,
CRM,8/26/04,2004.654346,239,2,Mainland Creek,Machipongo,37.460083,-75.816,1213,Josh/Brandon/Kim,LOW,26.7,22.1,35.13,,,0.37,2.5,,,,,,45.556,39.444,6.111,,,,,,,,,
CRM,9/30/04,2004.750171,274,2,Mainland Creek,Machipongo,37.460083,-75.816,1600,KMO/BJS,LATE EBB,24.1,29.8,45.93,24,13.1,0.41,2,,,,,,,,,,,,,,,,,
CRM,10/26/04,2004.821355,300,2,Mainland Creek,Machipongo,37.460083,-75.816,1241,BJS/JLM,LATE EBB,16.1,26.3,41.04,16.2,8.5,NaN,2,3.02,0.598,,,,32.556,31.222,1.333,,,,,,,,,
CRM,11/10/04,2004.862423,315,2,Mainland Creek,Machipongo,37.460083,-75.816,1135,Josh/Brandon,LATE EBB,10.8,30.7,47.28,11.1,9.8,NaN,2.5,2.76,0.762,,,,,,,,,,,,,,,
CRM,12/8/04,2004.939083,343,2,Mainland Creek,Machipongo,37.460083,-75.816,1117,KMO/BJS,LATE EBB,13.1,28.1,43.97,13,8.1,NaN,2,,,,,,,,,,,,,,,,,
CRM,2/9/05,2005.111567,40,2,Mainland Creek,Machipongo,37.460083,-75.816,,Josh/Br,,,,,,,NaN,,,,,,,,,,,,,,,,,,
CRM,3/22/05,2005.223819,81,2,Mainland Creek,Machipongo,37.460083,-75.816,1142,BJS/JLM,MID EBB,11.4,27,42.08,11.2,10.8,NaN,2.5,,,,,,44.1111,3.555533333,40.55553333,,,,,,,,,
CRM,4/18/05,2005.297741,108,2,Mainland Creek,Machipongo,37.460083,-75.816,1136,JLM/BJS,EARLY FL,12.3,18.3,29.55,12.1,10.6,NaN,2.1,1.628333333,0.259333333,16.286,,,16.66666667,1.222233333,15.44443333,,,,,,,,,
CRM,5/18/05,2005.379877,138,2,Mainland Creek,Machipongo,37.460083,-75.816,1105,BJS/JLM,LATE EBB,18.7,30.2,46.4,18,5.5,NaN,1.2,1.132083333,0.380166667,17.13466667,,,64.2222,6.333333333,57.8889,,,,,,,,,
CRM,6/21/05,2005.472964,172,2,Mainland Creek,Machipongo,37.460083,-75.816,1413,BJS/JLM,LATE EBB,24.8,30,46.38,25,8.6,NaN,2.1,3.0925,0.64125,,,,112.3333667,8.8889,103.4444667,,,,,,,,,
CRM,7/20/05,2005.552361,201,2,Mainland Creek,Machipongo,37.460083,-75.816,1410,JLM/BJS,EARLY FL,32.6,29.2,45.48,32.3,5.6,0.25,1,2.67,3.23,31.55,,,78.44443333,5.7778,72.66666667,,,,,,,,,
CRM,9/1/05,2005.670089,244,2,Mainland Creek,Machipongo,37.460083,-75.816,1345,JLM,LATE EBB,28.8,26.9,43.55,29,5.9,0.46,1.5,,,46.93333333,8.786666667,26.08333333,98.66666667,16.55556667,82.1111,,,,,,,,,
CRM,9/29/05,2005.746749,272,2,Mainland Creek,Machipongo,37.460083,-75.816,1225,KMO/JLM,LATE EBB,24.2,28.7,44.48,24.5,7.2,0.61,2,2.49,2.066666667,25.73333333,1.42,7.41,42.66666667,1.555566667,41.1111,,,,,,,,,
CRM,10/31/05,2005.83436,304,2,Mainland Creek,Machipongo,37.460083,-75.816,1223,KMO/ART,LATE EBB,14.2,30.6,47.15,15,7,NaN,1.2,1.89,0.252666667,19.74666667,1.42,4.743333333,23,3.111133333,19.8889,,,,,,,,,
CRM,11/16/05,2005.878166,320,2,Mainland Creek,Machipongo,37.460083,-75.816,1257,KMO/JLM,MID EBB,18.7,29.6,45.6,18.2,8.8,0.28,2,2.736666667,0.611,14.6,3.205,11.685,110.5555333,7.777766667,102.7777667,,,,,,,,,
CRM,12/12/05,2005.94935,346,2,Mainland Creek,Machipongo,37.460083,-75.816,1139,KMO/JLM,LATE EBB,,,,5,11.8,NaN,2.6,0.989333333,0.0393,25.7,0.71,3.7,12.66666667,0.333333333,12.33333333,,,,,,,,,
CRM,3/28/06,2006.239562,87,2,Mainland Creek,Machipongo,37.460083,-75.816,1254,KMO/ART,LATE EBB,11.7,32.1,49.24,11.8,9.76,0.51,1.7,1.346,0.119,16.1,2.373333333,6.53,39,4.555566667,34.44446667,,,,,,,,,
CRM,4/25/06,2006.316222,115,2,Mainland Creek,Machipongo,37.460083,-75.816,1245,KMO/ART,LATE EBB,21.3,27.6,42.73,21.3,7.35,0.41,1.5,2.16,0.168,21.13333333,2.846666667,8.833333333,53,9.2222,43.77776667,,,,,,,,,
CRM,5/23/06,2006.392882,143,2,Mainland Creek,Machipongo,37.460083,-75.816,,,,,,,,,NaN,,,,22.6,,,,,,,,,,,,,,
CRM,5/24/06,2006.395619,144,2,Mainland Creek,Machipongo,37.460083,-75.816,1204,KMO/ART,LATE EBB,20.2,32.8,49.95,20.3,6.37,0.46,1.5,3.92,1.033,,2.846666667,11.99333333,83.88886667,3,80.8889,,,,,,,,,
CRM,6/22/06,2006.475017,173,2,Mainland Creek,Machipongo,37.460083,-75.816,1158,KMO/ART,LATE EBB,29.1,31,47.6,29.4,7.5,0.23,1.8,2.583333333,0.624333333,59.5,7.123333333,22.59,68.22223333,5.6667,62.55556667,,,,,,,,,
CRM,7/21/06,2006.554415,202,2,Mainland Creek,Machipongo,37.460083,-75.816,1232,KMO/ART,EARLY FL,30,31.5,48.5,30,4.94,0.38,6.5,4.003333333,1.666666667,38.73366667,8.786666667,31.90333333,59.6667,1.8889,57.7778,,,,,,,,,
CRM,8/21/06,2006.639288,233,2,Mainland Creek,Machipongo,37.460083,-75.816,1250,KMO/DB,LATE EBB,28,29.3,45.42,28.1,5.43,0.33,7.4,7.233333333,1.021333333,24.05566667,7.836666667,21.30666667,55.66666667,5.8889,49.77776667,,,,,,,,,
CRM,9/18/06,2006.715948,261,2,Mainland Creek,Machipongo,37.460083,-75.816,1330,KMO/DB,EARLY FL,25,27.2,42.22,24.9,5.06,0.43,1.4,3.033333333,1.976666667,37.208,5.46,15.10666667,91.77776667,7.222233333,84.55556667,,,,,,,,,
CRM,11/3/06,2006.841889,307,2,Mainland Creek,Machipongo,37.460083,-75.816,1235,KMO/DB,LATE EBB,11.5,28.1,43.73,11.5,8.6,0.38,7,4.95,1.084,,1.42,5.91,66.33333333,5.333333333,61,,,,,,,,,
CRM,12/5/06,2006.9295,339,2,Mainland Creek,Machipongo,37.460083,-75.816,,KMO/ART,,,,,,,NaN,,,,,,,,,,,,,,,,,,
CRM,2/28/07,2007.162218,59,2,Mainland Creek,Machipongo,37.460083,-75.816,1221,KMO/CB/,LATE EBB,7.1,29.5,46.08,7.1,10.68,1.02,8.3,0.0169,,25.06666667,3.915,19.385,27.2222,4.2222,23,,,,,,,,,
CRM,3/29/07,2007.241615,88,2,Mainland Creek,Machipongo,37.460083,-75.816,1227,KMO/CB/,LATE EBB,14.5,31.7,48.52,14.6,8.62,0.46,9.4,0.309333333,0.528333333,18.36666667,3.56,12.29,-576,-618,41.99996667,,,,,,,,,
CRM,4/26/07,2007.318275,116,2,Mainland Creek,Machipongo,37.460083,-75.816,918,KMO/DB/,MID EBB,16.2,31,47.54,16.3,8.21,0.25,9,0.635,0.230333333,,2.13,7.87,70.44446667,5.8889,64.55556667,,,,,,,,,
CRM,5/30/07,2007.411362,150,2,Mainland Creek,Machipongo,37.460083,-75.816,1354,KMO/DB,LATE EBB,25,31.2,47.87,25.1,6.59,0.51,11.5,3.23,1.54,25.45,4.625,14.7,36.77776667,6.1111,30.66663333,,,,,,,,,
CRM,6/26/07,2007.485284,177,2,Mainland Creek,Machipongo,37.460083,-75.816,1240,KMO/CB,EARLY FL,27.2,32.7,50.1,27.3,6.5,0.41,10,1.416666667,0.691333333,30.3,4.983333333,17.79333333,44.8889,5.777766667,39.1111,,,,,,,,,
CRM,7/26/07,2007.56742,207,2,Mainland Creek,Machipongo,37.460083,-75.816,1200,KMO/DB,LATE EBB,28.2,33.4,51,28.2,5.77,0.41,8.8,3.53,1.776666667,,,,33.88886667,2.8889,31,,,,,,,,,
CRM,8/24/07,2007.646817,236,2,Mainland Creek,Machipongo,37.460083,-75.816,1202,KMO/CB,LATE EBB,27.1,32.6,50,27,5.92,0.38,5,12.09666667,3.046666667,40.3,,,36.55556667,5.333333333,31.22223333,,,,,,,,,
CRM,9/24/07,2007.731691,267,2,Mainland Creek,Machipongo,37.460083,-75.816,1240,kmo/cb,LATE EBB,24.1,33.9,51.2,24.1,4.85,0.46,6.2,7.476666667,3.723333333,45.75,2.61,10.76,60.00003333,3.444433333,56.55556667,,,,,,,,,
CRM,10/23/07,2007.811088,296,2,Mainland Creek,Machipongo,37.460083,-75.816,1211,KMO/CB,LATE EBB,21.9,34.6,52.5,21.9,5.54,0.3,7.8,2.48,2.366666667,30.03333333,3.556666667,10.87666667,79.1111,4.777766667,74.33333333,,,,,,,,,
CRM,11/7/07,2007.852156,311,2,Mainland Creek,Machipongo,37.460083,-75.816,1302,KMO/CB,LATE EBB,11.4,31.9,49.07,11.5,7.92,0.43,6.6,4.236666667,2.093333333,21.4,1.42,6.16,51.33333333,4.222233333,47.1111,,,,,,,,,
CRM,2/19/08,2008.136893,50,2,Mainland Creek,Machipongo,37.460083,-75.816,1253,KMO/CB,LATE EBB,10.1,29.4,45.64,10.2,8.62,0.36,1.5,0.234,0.245,21.13333333,,,46.22223333,3.8889,42.33333333,,,,,,,,,
CRM,3/18/08,2008.213552,78,2,Mainland Creek,Machipongo,37.460083,-75.816,1316,KMO/DB,LATE EBB,10.6,29.4,45.57,10.6,8.59,0.61,7,,0.371666667,19.96666667,,,34.44443333,3.444433333,31,,,,,,,,,
CRM,4/16/08,2008.29295,107,2,Mainland Creek,Machipongo,37.460083,-75.816,1256,KMO/CB,LATE EBB,13.9,29.6,45.76,7.09,14,0.86,6.5,,,25.73333333,,,33.66666667,2.1111,31.55556667,,,,,,,,,
CRM,5/13/08,2008.366872,134,2,Mainland Creek,Machipongo,37.460083,-75.816,1228,KMO/DB,EARLY FL,16.8,29.4,45.24,16.9,6.89,NaN,7.8,,,26.23333333,,,47.44443333,5.7778,41.66666667,,,,,,,,,
CRM,7/15/08,2008.539357,197,2,Mainland Creek,Machipongo,37.460083,-75.816,1331,KMO/DB,LATE EBB,28,32.2,49.4,28,5.13,0.3,6,,,44.76666667,,,36.00003333,3.888866667,32.1111,,,,,,,,,
CRM,10/9/08,2008.774812,283,2,Mainland Creek,Machipongo,37.460083,-75.816,1105,KMO/DB/CB,EARLY FLOOD,19.7,30.4,46.82,19.9,5.05,0.64,3,,,33.03333333,,,,,,,,,,,,,,
CRM,4/23/09,2009.311431,113,2,Mainland Creek,Machipongo,37.460083,-75.816,1419,KMO/CB,LATE EBB,17.7,29,44.61,17.2,7.4,NaN,1.6,10.96666667,2.053333333,,,,,,,,,,,,,,,
CRM,12/1/09,2009.919233,335,2,Mainland Creek,Machipongo,37.460083,-75.816,,,,,,,,,NaN,,3.18,0.18,,,,,,,,,,,,,,,
CRM,12/3/09,2009.924709,337,2,Mainland Creek,Machipongo,37.460083,-75.816,1430,ACS/DMB/CRB,MID EBB,13.6,25.6,40.01,,,0.2,,,,,,,,,,,,,,,,,,
CRM,5/24/10,2010.395619,144,2,Mainland Creek,Machipongo,37.460083,-75.816,1104,CB/AS/DB,LATE EBB,21.9,28.1,40.94,21.8,6.62,0.38,6.4,,,,,,,,,,,,,,,,,
CRM,5/25/10,2010.398357,145,2,Mainland Creek,Machipongo,37.460083,-75.816,,,,,,,,,NaN,,,0.2061,,,,,,,,,,,,,,,
CRM,4/29/11,2011.326489,119,2,Mainland Creek,Machipongo,37.460083,-75.816,,,,,,,,,NaN,,,,,,,,,,,,,,,,,,
CRM,7/27/11,2011.570157,208,2,Mainland Creek,Machipongo,37.460083,-75.816,1230,AS/DB,Late Ebb,30.8,30.8,47.5,30.9,7.02,0.41,12.1,,4.056666667,28.4,29.904,7.559066667,52.88888889,9.444444446,43.44444444,,,,,,,,,
CRM,10/10/11,2011.775496,283,2,Mainland Creek,Machipongo,37.460083,-75.816,1353,BR,LATE EBB,20.7,30.2,46.48,20.9,8.08,0.56,6.6,2.996666667,2.076666667,29.56666667,,,,,,,,,,,,,,
CRM,1/5/12,2012.013689,5,2,Mainland Creek,Machipongo,37.460083,-75.816,1225,BR,Late Ebb,4.5,31.1,48.69,4.5,10.82,1.3,,,,,2.373333333,1.647093333,,,,,,,,,,,,
CRM,4/4/12,2012.260096,95,2,Mainland Creek,Machipongo,37.460083,-75.816,1239,AS DB,EARLY EBB,16.6,30.5,46.74,16.6,6.98,0.66,,,,,1.424,1.134453333,299.2222222,281.1111111,18.11111111,,,,,,,,,
CRM,7/16/12,2012.542094,198,2,Mainland Creek,Machipongo,37.460083,-75.816,1230,AS DB,,29.8,35.3,53.6,,,0.33,,,,,,,36.66666667,7.166666667,29.5,,,,,,,,,
CRM,8/1/12,2012.5859,214,2,Mainland Creek,Machipongo,37.460083,-75.816,,,,,,,,,NaN,,,,,,,,,,,,,,,,,,
CRM,10/1/12,2012.752909,275,2,Mainland Creek,Machipongo,37.460083,-75.816,,,,,,,,,NaN,,3.426666667,0.919333333,,,,,,,,,,,,,,,
CRM,11/12/12,2012.867899,317,2,Mainland Creek,Machipongo,37.460083,-75.816,1250,AS DB,,12.7,24.7,43,,7.2,0.3,,,,,1.898666667,2.12176,83.77777778,6.888888889,76.88888889,,,,,,,,,
CRM,4/8/13,2013.270363,98,2,Mainland Creek,Machipongo,37.460083,-75.816,1306,,LATE EBB,,27.6,44.26,,,0.5,,0.0495,0.188333333,14.9,,,,,,,,,,,,,,
CRM,4/9/13,2013.273101,99,2,Mainland Creek,Machipongo,37.460083,-75.816,,,,,,,,,NaN,,,,,,,42,4,38,,,,,,,,,
CRM,8/5/13,2013.596167,217,2,Mainland Creek,Machipongo,37.460083,-75.816,1315,DB,LATE EBB,27.7,31.9,48.9,27.7,8.73,0.3,5,5.296666667,1.566666667,27.15,5.34,5.35068,33.5,4.666666667,28.83333333,,,,,,,,,
CRM,10/3/13,2013.7577,276,2,Mainland Creek,Machipongo,37.460083,-75.816,1256,LA/NoahEgge/DB,LATE EBB,23.8,32.6,49.79,23.5,6.32,0.45,8.8,3.55,1.39,23.36833333,2.136,5.173866667,16.83333333,3.666666667,13.16666667,,,,,,,,,
CRM,12/16/13,2013.960301,350,2,Mainland Creek,Machipongo,37.460083,-75.816,1238,DB/AS,LATE EBB,6.7,28.1,44.01,6.7,10.18,1.1,6.9,,,,1.186666667,2.28552,12.5,1.166666667,11.33333333,,,,,,,,,
CRM,3/27/14,2014.236824,86,2,Mainland Creek,Machipongo,37.460083,-75.816,1242,DB/AS,LATE EBB,8.4,31.4,32.85,7.9,10.55,0.65,7.4,,,22.66666667,2.373333333,6.946746667,34.16666667,7,27.16666667,,,,,,,,,
CRM,6/11/14,2014.444901,162,2,Mainland Creek,Machipongo,37.460083,-75.816,1309,DB,LATE EBB,27.9,30.1,46.38,27.9,5.7,0.15,4.7,,,26.46666667,4.272,6.875546667,119.5,9.5,110,,,,,,,,,
CRM,9/22/14,2014.726899,265,2,Mainland Creek,Machipongo,37.460083,-75.816,1222,DB,FALLING,23.1,31.1,47.8,23,6.85,0.6,6.4,5.563333333,1.046333333,14.53333333,12.9601296,2.008820088,26.77777778,1.444444444,25.33333333,,,,,,,,,
CRM,9/22/14,2014.726899,265,2,Mainland Creek,Machipongo,37.460083,-75.816,1222,DB,FALLING,23.1,31.1,47.8,23,6.85,0.6,6.4,5.563333333,1.046333333,14.53333333,12.9601296,2.008820088,26.77777778,1.444444444,25.33333333,,,,,,,,,
